,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
80,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-691.7698372854586,1
81,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0.0,-691.674279496234,1
82,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-691.454529007505,1
83,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0,-691.2918904258861,1
84,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-691.2514617652641,1
85,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-690.7828781907165,1
86,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-690.4830713731362,1
87,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.0,-690.2503632347061,1
88,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0.0,-689.8548603108541,1
89,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0,-689.7088845456638,1
90,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-688.6383425575843,1
91,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.0,-687.9401016214767,1
92,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0.0,-687.4478936490711,1
93,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-687.2481431603421,1
94,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-687.0560589984457,2
95,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-686.9354297569287,1
96,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-686.4541005849137,1
