,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
24,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0.0,-727.7413605773368,2
25,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-726.8369698353054,2
26,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-726.8131114298346,3
27,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-726.6708185892574,1
28,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-725.2699806872038,3
29,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0.0,-724.8817332752462,1
30,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-724.6969341081319,2
31,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-722.7701183827091,5
32,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-722.7060530545575,1
33,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0.0,-722.0953338773627,2
34,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-721.9105347102486,7
35,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0.0,-720.0787505038447,1
36,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0.0,-718.9688488474578,1
37,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-718.8053528480093,1
38,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-718.6163738651396,1
39,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0.0,-718.3380860244699,6
40,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0.0,-718.151934778422,1
41,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-718.1432868573559,1
42,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0.0,-717.9671356113079,1
43,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-716.3687639725101,2
44,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0.0,-716.2264711319331,3
45,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-716.018953450126,6
46,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-715.8086168429027,3
47,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0.0,-715.3970672433964,2
48,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-715.3255298351187,2
49,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-714.919085583535,1
50,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0.0,-714.5369797661065,1
51,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0.0,-714.1871692437223,1
52,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-714.002370076608,1
53,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-713.6924395212002,1
54,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-713.4728315314625,1
55,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-713.0746031274014,1
56,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-712.6015161196176,1
57,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-712.2617055972332,3
58,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-711.9079166363545,5
59,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-711.5382819822262,1
60,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-711.3821307361782,1
61,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0.0,-710.9060401233166,2
62,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0.0,-710.4019584855615,2
63,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-709.6937995260926,2
64,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-709.074255916913,1
65,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-709.0445612722606,1
66,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-708.8588277429309,1
67,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0.0,-708.3697767669141,4
68,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-707.5014305296299,3
69,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0.0,-707.2897330320673,2
70,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0.0,-707.1387922704239,2
71,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-707.1049338649532,4
72,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-706.9626410243759,2
73,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-706.907400128209,9
74,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0.0,-706.8266460242835,2
75,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-705.4577217392339,1
76,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0.0,-705.4504248569115,1
77,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0.0,-705.2332917370093,1
78,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-705.079795737561,2
79,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0.0,-705.0756159218054,1
80,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0.0,-704.6025289140214,2
81,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0.0,-704.4263776679734,1
82,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.0,-703.1336017205338,1
83,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0.0,-703.0593981713907,1
84,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-702.9978754896761,1
