,0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
106,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0.0,-409.8388615837877,1
107,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-409.8026620295612,2
108,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0.0,-409.6719735725607,1
109,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.0,-409.58732688271743,2
110,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0.0,-409.30105301918775,2
111,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0.0,-409.2716866963736,2
112,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0.0,-409.2448865822033,3
113,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0.0,-409.1804237776707,1
114,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.0,-409.1510574548566,1
115,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0.0,-409.12425734068626,2
116,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0.0,-408.4564532117551,2
117,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0.0,-407.13984004034216,2
118,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0,-407.0192107988251,1
119,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0.0,-406.6943751990782,2
120,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0.0,-406.5911673016868,1
121,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-406.5911673016869,1
122,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0.0,-406.48296457018876,1
123,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-406.47053806016976,3
124,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0.0,-406.4705380601698,5
125,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0.0,-406.38646583202893,3
126,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0.0,-406.38646583202893,2
127,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-406.22024674831385,2
128,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-406.2202467483139,1
129,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0.0,-406.10019196849925,1
130,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-406.0996175067968,2
131,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0.0,-406.09961750679685,1
132,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-406.0449489210536,1
133,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0.0,-405.9795627269822,1
134,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0.0,-405.92431967953655,3
135,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0.0,-405.7292714151263,1
136,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0.0,-405.6731049781419,1
137,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-405.6380458160068,3
138,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0.0,-405.3655877253978,2
139,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0.0,-405.3655877253978,1
140,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0.0,-405.24495848388074,2
141,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0.0,-405.24495848388074,2
142,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-405.0053008492107,1
143,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-404.99466717202483,2
144,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-404.88467160769363,3
145,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0.0,-404.88467160769363,2
146,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0.0,-404.87403793050777,2
147,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0.0,-401.7965883552765,1
148,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0.0,-401.67595911375946,3
149,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0.0,-401.59188688561864,1
150,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-401.5079470405172,2
151,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-401.38731779900013,1
152,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0.0,-401.3056130220889,2
153,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0.0,-401.1849837805719,2
154,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0.0,-401.16348066009175,1
155,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0.0,-400.885635616585,3
156,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0.0,-400.885635616585,1
157,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-400.7931345684212,2
158,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0.0,-400.7650063750679,2
159,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-400.76500637506797,2
160,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0.0,-400.61829792787233,2
