,0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
111,0,0,1,1,0,0,1,1,0,0,0.0,0.060000000000000005,5
112,0,0,1,1,1,0,1,0,0,0,0.0,0.060000000000000005,7
113,1,0,0,0,0,1,0,0,1,1,0.0,0.060000000000000005,4
114,0,0,1,0,1,0,1,1,0,0,0.0,0.060000000000000005,5
115,1,1,0,1,0,0,0,0,1,0,0.0,0.060000000000000005,2
116,1,1,0,1,1,0,0,0,0,0,0.0,0.060000000000000005,9
117,1,1,0,0,1,0,0,0,1,0,0.0,0.060000000000000005,5
118,0,0,0,1,1,0,1,1,0,0,0.0,0.060000000000000005,2
119,0,1,0,1,1,0,0,1,0,0,0.0,0.060000000000000005,1
120,1,0,0,0,1,0,1,0,1,0,0.0,0.060000000000000005,8
121,1,0,1,1,0,0,1,0,0,0,0.0,0.060000000000000005,8
122,0,1,1,1,0,0,0,1,0,0,0.0,0.060000000000000005,3
123,0,1,1,1,1,0,0,0,0,0,0.0,0.060000000000000005,4
124,0,0,1,1,1,0,0,1,0,0,0.0,0.060000000000000005,1
125,1,0,1,0,1,0,1,0,0,0,0.0,0.060000000000000005,6
126,1,0,0,0,0,0,1,0,1,1,0.0,0.060000000000000005,2
127,1,0,0,1,0,0,0,0,1,1,0.0,0.060000000000000005,2
128,1,1,1,0,1,0,0,0,0,0,0.0,0.060000000000000005,4
129,0,1,1,0,1,0,0,1,0,0,0.0,0.060000000000000005,1
130,1,1,1,1,0,0,0,0,0,0,0.0,0.060000000000000005,7
131,1,0,0,1,1,0,1,0,0,0,0.0,0.060000000000000005,11
132,0,0,0,0,0,1,1,0,1,1,0.0,0.060000000000000005,6
133,1,0,0,1,0,0,1,0,1,0,0.0,0.060000000000000005,7
134,1,0,0,1,1,0,0,0,1,0,0.0,0.060000000000000005,3
135,0,0,0,0,0,1,0,1,1,1,0.0,0.060000000000000005,3
136,1,0,1,1,1,0,0,0,0,0,0.0,0.060000000000000005,5
137,0,0,0,0,0,1,1,1,0,1,0.0,0.060000000000000005,10
138,0,1,0,1,1,0,0,0,1,0,0.0,0.060000000000000005,1
139,0,0,1,0,0,0,1,1,0,1,0.0,0.060000000000000005,3
