,0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
38,1,0,1,1,1,0,1,1,1,1,0.0,-383.58335313687735,3
39,1,1,0,1,0,0,1,1,1,0,0.0,-382.38905232821276,1
40,1,0,0,1,1,1,1,1,1,1,0.0,-382.0402223942466,5
41,0,1,0,0,0,1,1,1,1,0,0.0,-381.98924180582844,9
42,1,1,1,0,1,0,1,1,0,0,0.0,-381.8502628229587,1
43,1,1,1,1,0,1,1,1,1,0,0.0,-381.4458181908212,4
44,1,1,1,1,0,0,1,1,0,1,0.0,-381.4271758151748,2
45,1,1,0,0,1,1,1,1,0,0,0.0,-380.3071320803281,4
46,1,1,1,1,1,0,1,1,1,1,0.0,-379.84610528398457,1
47,1,1,1,1,1,0,1,0,1,0,0.0,-379.73880840166225,4
48,1,0,0,1,0,0,1,1,1,1,0.0,-379.6026529303292,1
49,1,1,0,0,0,1,0,1,1,1,0.0,-379.46036008975204,2
50,0,0,0,0,0,1,1,1,1,1,0.0,-379.202842407945,11
51,1,0,1,0,1,1,1,1,1,0,0.0,-379.0925058007216,3
52,1,0,1,1,0,1,1,1,1,1,0.0,-378.6594187929377,5
53,1,1,0,1,1,1,1,1,1,1,0.0,-378.30297454135393,5
54,1,1,0,1,1,1,1,0,1,0,0.0,-378.1956776590316,3
55,0,1,1,1,1,0,1,1,0,0,0.0,-377.2362590344271,5
56,1,1,1,0,0,1,1,1,0,0,0.0,-376.92632847901916,1
57,1,1,0,0,1,0,1,1,1,0,0.0,-376.30849208522045,2
58,1,1,0,1,0,0,1,1,1,1,0.0,-375.88540507743653,1
59,0,1,0,0,0,1,1,1,1,1,0.0,-375.4955945550522,4
60,0,1,0,0,1,1,0,1,1,0,0.0,-375.25944330900427,1
61,1,0,0,0,0,1,1,1,1,0,0.0,-375.0918055941736,13
62,1,1,1,1,0,1,1,1,1,1,0.0,-374.922170940045,1
63,1,1,1,1,1,1,0,1,1,0,0.0,-374.71601969399705,1
64,1,0,1,0,0,1,1,1,0,1,0.0,-374.1399290811356,7
65,1,1,1,0,0,0,1,1,1,0,0.0,-372.92768848391154,2
66,1,0,1,0,1,1,1,1,1,1,0.0,-372.5788585499454,5
67,1,1,1,1,0,0,0,1,1,0,0.0,-372.27845023007967,1
68,0,1,0,1,1,0,1,1,1,0,0.0,-371.69448829668886,1
69,0,1,1,1,1,1,1,1,1,0,0.0,-370.7512541592972,2
70,1,1,0,1,0,1,0,1,1,0,0.0,-370.73531948744903,2
71,1,1,1,0,0,1,1,1,0,1,0.0,-370.42268122824294,5
72,1,0,1,1,1,0,1,1,0,0,0.0,-370.3388228227723,1
73,1,1,1,0,1,1,0,1,0,0,0.0,-370.196529982195,1
74,1,0,1,0,0,0,1,1,1,1,0.0,-370.141289086028,1
75,1,1,1,0,1,1,1,1,1,1,0.0,-368.8416106970527,2
76,1,1,1,0,1,1,1,0,1,0,0.0,-368.7343138147304,4
77,0,1,1,1,0,0,1,1,1,0,0.0,-368.31368469537995,3
78,0,1,0,1,0,1,1,1,1,0,0.0,-366.7705539527493,3
79,1,1,1,0,0,0,1,1,1,1,0.0,-366.4240412331353,1
80,0,1,1,0,1,1,1,1,0,0,0.0,-366.23176444749515,2
81,1,1,1,1,0,0,0,1,1,1,0.0,-365.77480297930344,2
82,0,0,1,1,0,0,1,1,1,1,0.0,-365.5272852974964,6
83,1,0,0,1,1,0,1,1,1,0,0.0,-364.7970520850339,1
84,1,1,0,0,0,1,1,0,1,0,0.0,-364.7336136081824,4
85,0,0,0,0,1,1,1,1,1,0,0.0,-364.3972415626497,12
