,0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
83,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.03,1
84,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.03,1
85,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.03,1
86,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.03,3
87,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,0.03,2
88,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0.03,2
89,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.03,2
90,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.03,1
91,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.03,1
92,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.03,2
93,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0.03,2
94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03,1
95,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.03,1
96,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0.03,1
97,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0.03,1
98,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.03,1
99,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.03,2
100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0.03,2
101,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.03,1
102,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.03,2
103,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.03,2
104,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,0.03,1
105,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.03,1
106,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.03,1
107,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.03,1
108,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.03,1
109,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.03,3
110,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0,0.03,1
111,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.03,2
112,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,0.03,1
