,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
38,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-763.5972051676644,1
39,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.0,-763.1286665590982,2
40,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-762.8844978338747,1
41,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0.0,-762.7638685923577,1
42,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.0,-762.7577460057253,1
43,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-761.4397985306736,1
44,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-761.1808985904729,1
45,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.0,-760.9835324369541,2
46,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-760.6522536998206,1
47,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0.0,-760.6126118835812,1
48,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-760.5619777876228,1
49,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0,-760.2708251031646,2
50,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0.0,-759.8999045497917,1
51,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.0,-759.3073565578414,2
52,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0,-758.9364360044685,3
53,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-758.6433146990936,1
54,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-758.594649224052,4
55,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0.0,-758.2237286706791,1
